Date_mutation,Nature_mutation,Valeur_fonciere,No_voie,Type_de_voie,Voie,Code_postal,Commune,Code_departement,Code commune,Section,Type_local,Surface_reelle_bati,Nombre_pieces_principales,Nature_culture,Surface_terrain
2019-04-10,Vente,40000.0,13.0,RUE,DESCARTES,54400.0,LONGWY,54,323,AZ,Maison,75.0,5.0,S,478.0
2019-04-16,Vente,3600000.0,16.0,QUAI,DANIEL RIVAILLE,17410.0,SAINT-MARTIN-DE-RE,17,369,AI,Maison,478.0,6.0,S,366.0
2019-10-12,Vente,300000.0,22.0,RUE,DE LA FONTAINE,95850.0,MAREIL-EN-FRANCE,95,365,B,Maison,84.0,4.0,S,511.0
2019-06-07,Vente,200900.0,5025.0,,LE BOURG,71250.0,SAILLY,71,381,A,Maison,172.0,7.0,S,200.0
2019-02-15,Vente,155000.0,7.0,RUE,DE LA FONTAINE SAULGE,49320.0,BRISSAC LOIRE AUBANCE,49,50,ZI,Maison,120.0,4.0,S,870.0
2019-03-28,Vente,102000.0,27.0,RUE,CHANZY ST POL,59430.0,DUNKERQUE,59,183,AZ,Maison,72.0,4.0,S,166.0
2019-12-19,Vente,352800.0,9.0,RUE,DU THEATRE,33500.0,LIBOURNE,33,243,CO,Appartement,22.0,1.0,S,268.0
2019-07-29,Vente,100000.0,79.0,BD,OSCAR PLANAT,16100.0,COGNAC,16,102,BI,Maison,131.0,4.0,S,330.0
2019-06-27,Vente,380000.0,59.0,RUE,D HURLUPIN,59560.0,COMINES,59,152,AD,Local industriel. commercial ou assimilé,40.0,0.0,S,89.0
2019-07-15,Vente,45000.0,9.0,PL,DU MARCHE AU BOIS,9100.0,PAMIERS,9,225,I,Maison,10.0,5.0,S,91.0
2019-07-19,Vente,37000.0,16.0,RTE,DU BELVEDERE,16220.0,VILHONNEUR,16,406,ZB,Maison,66.0,3.0,J,607.0
2019-07-08,Vente,265000.0,25.0,CLOS,DU BOIS,56890.0,PLESCOP,56,158,AD,Maison,148.0,7.0,S,697.0
2019-08-05,Vente,200000.0,6.0,RUE,DE NANCY,77290.0,MITRY MORY,77,294,AZ,Maison,66.0,4.0,S,429.0
2019-07-08,Vente,147000.0,10.0,RUE,VICTOR HUGO,62121.0,COURCELLES-LE-COMTE,62,248,AB,Maison,110.0,5.0,S,801.0
2019-09-25,Vente,190000.0,20.0,RUE,DE L ABREUVOIR,44680.0,SAINT-HILAIRE-DE-CHALEONS,44,164,C,Maison,110.0,5.0,S,414.0
2019-01-09,Vente,88000.0,29.0,RUE,DES FUSILLES DE POULGUEN,29730.0,GUILVINEC,29,72,AI,Maison,64.0,3.0,S,294.0
2019-06-03,Vente,290000.0,83.0,RUE,DU MOULIN A L HUILE,44400.0,REZE,44,143,CS,Maison,100.0,5.0,S,418.0
2019-10-09,Vente,485000.0,43.0,RUE,STELLAIRE,49080.0,BOUCHEMAINE,49,35,AE,Maison,250.0,6.0,S,570.0
2019-04-25,Vente,136000.0,250.0,LOT,LES PEUPLIERS,42640.0,SAINT-GERMAIN-LESPINASSE,42,231,B,Maison,89.0,4.0,S,819.0
2019-11-09,Vente,210000.0,14.0,IMP,DU LAVOIR,29920.0,NEVEZ,29,153,B,Maison,122.0,5.0,S,612.0
2019-10-18,Vente,110000.0,15.0,RUE,CLABAULT,80000.0,AMIENS,80,21,DX,Maison,75.0,4.0,S,59.0
2019-01-23,Vente,134400.0,105.0,RUE,DE FARAMANS,1800.0,BOURG-SAINT-CHRISTOPHE,1,54,B,Maison,50.0,2.0,S,1202.0
2019-09-12,Vente,610000.0,1.0,AV,JEANNE D ARC,62520.0,LE TOUQUET PARIS PLAGE,62,826,AN,Maison,110.0,5.0,S,457.0
2019-04-15,Vente,174814352.0,24.0,IMP,DES VIOLETTES,34170.0,CASTELNAU LE LEZ,34,57,AS,Appartement,80.0,4.0,S,4762.0
2019-05-06,Vente,130000.0,863.0,AV,DU GEN DE GAULLE,76350.0,OISSEL,76,484,AI,Maison,98.0,4.0,S,198.0
2019-04-26,Vente,114600.0,5424.0,,PETITE VALADE,87330.0,VAL D ISSOIRE,87,97,G,Maison,157.0,7.0,S,819.0
2019-12-20,Vente,224000.0,438.0,,AU PETIT PAYE,33920.0,SAINT-SAVIN,33,473,ZM,Maison,88.0,4.0,S,500.0
2019-06-14,Vente,300000.0,179.0,AV,DE VALENCIENNES,59400.0,CAMBRAI,59,122,AM,Local industriel. commercial ou assimilé,800.0,0.0,S,4848.0
2019-12-27,Vente,330000.0,2.0,CHE,DE VULAINES,77390.0,YEBLES,77,534,D,Maison,97.0,5.0,S,1079.0
2019-03-21,Vente,170000.0,74.0,RPE,SAINT MARCEL,2000.0,LAON,2,408,AI,Maison,187.0,9.0,S,141.0
2019-04-29,Vente,194000.0,219.0,,LA CROIX EST,33710.0,BOURG,33,67,AL,Maison,51.0,2.0,S,335.0
2019-02-22,Vente,356400.0,8.0,AV,GAMBETTA,34110.0,MIREVAL,34,159,AZ,Maison,151.0,6.0,S,450.0
2019-01-05,Vente,120000.0,279.0,RUE,PAUL ELBEL,88420.0,MOYENMOUTIER,88,319,AB,Maison,94.0,4.0,S,500.0
2019-10-30,Vente,107841.42,20.0,RUE,DES OISEAUX,58150.0,ST MARTIN SUR NOHAIN,58,256,ZR,Maison,48.0,3.0,S,684.0
2019-03-29,Vente,700000.0,29.0,RUE,VERNIER,6000.0,NICE,6,88,LT,Local industriel. commercial ou assimilé,40.0,0.0,S,473.0
2019-05-27,Vente,265000.0,9011.0,RUE,DE LA BARANGERAIE,49160.0,LONGUE-JUMELLES,49,180,YD,Maison,187.0,5.0,AG,641.0
2019-11-23,Vente,155750.0,6.0,,ECURAT,23150.0,SAINT PARDOUX LES CARDS,23,229,AP,Maison,130.0,5.0,S,340.0
2019-02-05,Vente,137836.0,5272.0,,LONGUECASSAGNE,82220.0,VAZERAC,82,189,VH,Maison,72.0,3.0,VE,4000.0
2019-02-25,Vente,105000.0,10.0,,FORGEVIEILLE,23160.0,SAINT-GERMAIN-BEAUPRE,23,199,A,Maison,117.0,5.0,S,500.0
2019-08-01,Vente,300000.0,22.0,RUE,DES MERICS,33120.0,ARCACHON,33,9,AN,Maison,50.0,2.0,S,59.0
2019-07-23,Vente,236330.0,32.0,GR,GRANDE RUE,41220.0,SAINT LAURENT NOUAN,41,220,AE,Maison,145.0,6.0,S,1000.0
